i,c,d,h,t,s,qtd_p,e
1847,1342,2020-09-28,22:07,66.47,CANCELADO,4,Maranhão
1848,1343,2020-11-27,04:16,138.39,DEVOLUÇÃO,2,Pará
1849,1344,2020-03-25,16:08,262.28,CANCELADO,4,Santa Catarina
1850,1345,2020-03-30,01:42,199.35,COMPRA,6,Pernambuco
1851,1346,2020-10-31,22:01,176.65,COMPRA,7,Pernambuco
1852,1347,2020-09-19,20:17,125.83,COMPRA,6,Maranhão
1853,1348,2021-01-11,07:45,209.30,COMPRA,6,Pará
1854,1349,2020-10-22,18:26,55.34,COMPRA,6,Pernambuco
1855,1350,2020-12-03,02:54,177.68,COMPRA,2,Maranhão
1856,1351,2020-09-24,13:50,194.73,CANCELADO,3,Ceará
1857,1352,2021-02-23,06:45,109.63,DEVOLUÇÃO,2,Rio de Janeiro
1858,1353,2020-12-17,01:04,258.97,COMPRA,2,Pernambuco
1859,1354,2020-11-21,22:05,251.35,DEVOLUÇÃO,2,Pernambuco
1860,1355,2021-02-05,19:12,96.82,CANCELADO,6,Pernambuco
1861,1356,2020-11-16,08:57,214.90,COMPRA,2,Goiás
1862,1357,2021-01-22,05:45,130.18,COMPRA,4,Maranhão
1863,1358,2021-01-21,06:08,47.41,COMPRA,5,Bahia
1864,1359,2020-08-17,02:56,211.82,COMPRA,3,São Paulo
1865,1360,2021-01-09,02:46,54.49,COMPRA,6,Pernambuco
1866,1361,2020-06-07,07:14,265.83,COMPRA,5,Maranhão
1867,1362,2021-02-15,02:51,197.66,CANCELADO,6,Santa Catarina
1868,1363,2021-03-19,17:00,257.85,COMPRA,3,Ceará
1869,1364,2020-10-29,07:20,142.43,DEVOLUÇÃO,4,Minas Gerais
1870,1365,2020-05-12,01:52,71.47,COMPRA,5,Santa Catarina
1871,1366,2020-06-08,21:02,115.82,COMPRA,5,Pernambuco
1872,1367,2021-02-27,11:58,176.84,COMPRA,2,Santa Catarina
1873,1368,2020-07-01,05:01,82.33,DEVOLUÇÃO,1,Goiás
1874,1369,2020-08-18,14:51,88.65,COMPRA,2,São Paulo
1875,1370,2020-03-10,05:46,238.11,COMPRA,2,Paraíba
1876,1371,2021-01-30,06:19,233.03,COMPRA,2,Santa Catarina
1877,1372,2020-11-13,17:42,180.17,COMPRA,2,Pará
1878,1373,2020-03-01,06:18,214.09,DEVOLUÇÃO,3,Pernambuco
1879,1374,2020-11-15,17:18,198.70,CANCELADO,3,Goiás
1880,1375,2021-01-05,13:58,242.26,COMPRA,1,Rio Grande do Sul
1881,1376,2020-12-01,19:46,92.46,CANCELADO,6,Maranhão
1882,1377,2020-11-09,08:12,34.21,CANCELADO,5,Maranhão
1883,1378,2020-07-06,04:53,128.81,CANCELADO,4,São Paulo
1884,1379,2020-11-27,08:50,154.24,CANCELADO,2,Goiás
1885,1380,2020-05-25,16:51,111.74,CANCELADO,5,Paraíba
1886,1381,2020-07-15,03:01,226.97,DEVOLUÇÃO,1,Goiás
1887,1382,2021-02-17,20:45,196.82,DEVOLUÇÃO,1,Santa Catarina
1888,1383,2020-07-08,14:03,97.50,COMPRA,6,Rio Grande do Sul
1889,1384,2020-09-03,20:52,75.74,DEVOLUÇÃO,3,Rio Grande do Sul
1890,1385,2021-01-02,05:06,199.76,CANCELADO,5,Ceará
1891,1386,2020-04-18,17:12,245.97,COMPRA,2,São Paulo
1892,1387,2020-10-22,07:36,196.92,DEVOLUÇÃO,3,Paraná
1893,1388,2020-12-31,14:35,241.67,CANCELADO,4,São Paulo
1894,1389,2021-01-30,06:11,249.67,COMPRA,7,Ceará
1895,1390,2020-10-23,03:04,166.74,CANCELADO,2,Pará
1896,1391,2020-07-06,06:03,187.40,CANCELADO,4,Minas Gerais
1897,1392,2021-02-21,11:36,73.07,DEVOLUÇÃO,3,Santa Catarina
1898,1393,2020-12-26,12:03,22.73,CANCELADO,2,Ceará
1899,1394,2020-10-03,01:36,145.72,COMPRA,5,Pernambuco
1900,1395,2020-03-26,00:57,214.05,DEVOLUÇÃO,4,Santa Catarina
1901,1396,2020-03-07,03:10,130.63,DEVOLUÇÃO,3,São Paulo
1902,1397,2020-04-22,06:04,244.45,COMPRA,4,Goiás
1903,1398,2020-06-13,11:40,141.80,DEVOLUÇÃO,2,Ceará
1904,1399,2020-03-16,18:09,121.98,COMPRA,3,Santa Catarina
1905,1400,2020-11-01,12:39,124.84,COMPRA,1,Maranhão
1906,1401,2020-05-29,13:51,249.77,CANCELADO,4,Goiás
1907,1402,2020-10-06,20:55,169.55,DEVOLUÇÃO,3,Paraná
1908,1403,2020-12-07,22:48,29.05,DEVOLUÇÃO,4,Minas Gerais
1909,1404,2021-01-19,20:12,260.28,COMPRA,2,São Paulo
1910,1405,2020-11-19,01:09,145.24,CANCELADO,6,Paraná
1911,1406,2020-08-24,08:31,178.87,COMPRA,1,Goiás
1912,1407,2020-11-16,02:01,235.67,DEVOLUÇÃO,4,Pará
1913,1408,2020-09-30,09:02,87.88,DEVOLUÇÃO,7,Maranhão
1914,1409,2020-03-14,06:47,142.64,DEVOLUÇÃO,7,Pará
1915,1410,2020-03-26,21:04,117.50,COMPRA,6,Ceará
1916,1411,2020-09-24,10:33,258.15,DEVOLUÇÃO,5,Bahia
1917,1412,2020-12-25,06:52,217.81,DEVOLUÇÃO,3,Pará
1918,1413,2020-06-08,06:16,21.40,DEVOLUÇÃO,7,São Paulo
1919,1414,2021-01-01,04:21,69.93,CANCELADO,2,Pará
1920,1415,2020-08-31,04:32,219.67,CANCELADO,2,Paraíba
1921,1416,2020-08-02,14:09,225.49,CANCELADO,6,Paraíba
1922,1417,2020-10-19,12:54,109.34,DEVOLUÇÃO,4,Paraná
1923,1418,2020-10-15,06:28,63.64,COMPRA,2,Paraíba
1924,1419,2020-06-12,15:50,230.54,CANCELADO,7,Santa Catarina
1925,1420,2020-05-20,04:50,29.83,COMPRA,6,Rio de Janeiro
1926,1421,2020-10-13,12:31,144.15,DEVOLUÇÃO,2,Pernambuco
1927,1422,2020-08-14,03:51,165.64,COMPRA,1,Paraíba
1928,1423,2021-01-09,21:59,259.26,DEVOLUÇÃO,6,Bahia
1929,1424,2020-09-20,00:20,155.99,COMPRA,6,Paraná
1930,1425,2020-05-22,07:19,152.33,CANCELADO,3,Goiás
1931,1426,2020-07-22,12:10,44.01,CANCELADO,3,Rio Grande do Sul
1932,1427,2021-01-24,18:38,217.10,CANCELADO,6,Goiás
1933,1428,2020-03-13,23:22,244.60,COMPRA,2,Maranhão
1934,1429,2020-03-01,02:27,189.25,CANCELADO,7,Santa Catarina
1935,1430,2021-03-10,06:07,243.55,CANCELADO,3,Santa Catarina
1936,1431,2020-07-21,05:06,122.63,CANCELADO,3,Goiás
1937,1432,2020-07-07,10:28,257.17,DEVOLUÇÃO,6,São Paulo
1938,1433,2020-12-05,18:57,160.88,CANCELADO,7,Santa Catarina
1939,1434,2020-11-06,12:04,260.72,DEVOLUÇÃO,1,Pernambuco
1940,1435,2020-09-03,23:52,169.43,COMPRA,6,Goiás
1941,1436,2020-03-26,09:52,157.70,DEVOLUÇÃO,6,Maranhão
1942,1437,2020-04-11,22:10,181.87,COMPRA,1,Ceará
1943,1438,2020-07-22,12:32,174.44,CANCELADO,7,Pará
1944,1439,2020-10-04,11:11,175.31,DEVOLUÇÃO,2,Paraná
1945,1440,2020-10-18,04:59,264.74,DEVOLUÇÃO,2,Pernambuco
1946,1441,2020-04-27,10:48,97.35,DEVOLUÇÃO,6,Ceará
1947,1442,2021-01-31,19:38,231.90,CANCELADO,6,Goiás
1948,1443,2020-06-21,14:20,238.13,DEVOLUÇÃO,6,Bahia
1949,1444,2020-09-11,06:00,257.25,CANCELADO,7,Goiás
1950,1445,2020-03-18,01:58,81.22,CANCELADO,2,Minas Gerais
1951,1446,2020-03-04,03:52,124.01,CANCELADO,1,Minas Gerais
1952,1447,2020-03-25,12:00,208.56,DEVOLUÇÃO,5,Paraíba
1953,1448,2021-03-07,01:29,41.65,DEVOLUÇÃO,7,Goiás
1954,1449,2020-03-04,05:25,36.63,DEVOLUÇÃO,1,Santa Catarina
1955,1450,2021-03-22,13:53,70.54,CANCELADO,6,Rio de Janeiro
1956,1451,2020-12-31,13:50,147.54,COMPRA,3,Maranhão
1957,1452,2020-11-25,13:21,225.05,CANCELADO,5,Pará
1958,1453,2020-07-01,09:17,163.72,CANCELADO,4,Minas Gerais
1959,1454,2020-05-06,19:56,79.36,DEVOLUÇÃO,4,Maranhão
1960,1455,2020-03-10,08:31,158.24,DEVOLUÇÃO,2,Maranhão
1961,1456,2020-04-19,04:28,137.36,CANCELADO,6,Santa Catarina
1962,1457,2020-07-06,05:12,128.42,CANCELADO,2,Pará
1963,1458,2020-12-06,11:07,49.65,CANCELADO,4,Maranhão
1964,1459,2021-02-05,12:06,87.27,COMPRA,5,Bahia
1965,1460,2020-07-22,02:01,172.75,CANCELADO,6,Rio Grande do Sul
1966,1461,2020-10-30,18:07,231.64,COMPRA,1,Pará
1967,1462,2021-03-26,07:10,170.13,DEVOLUÇÃO,6,São Paulo
1968,1463,2020-03-03,10:13,86.41,CANCELADO,4,Maranhão
1969,1464,2020-11-06,00:27,152.73,CANCELADO,1,Minas Gerais
1970,1465,2020-04-25,06:30,252.81,CANCELADO,2,Paraíba
1971,1466,2021-02-23,13:10,78.26,CANCELADO,2,Bahia
1972,1467,2020-05-14,01:12,189.23,COMPRA,5,Pará
1973,1468,2021-02-11,21:25,69.48,DEVOLUÇÃO,6,Goiás
1974,1469,2020-04-28,02:53,151.85,COMPRA,1,Bahia
1975,1470,2021-01-21,06:34,178.01,COMPRA,6,Pernambuco
1976,1471,2020-11-14,12:41,170.81,COMPRA,6,Goiás
1977,1472,2020-10-18,05:03,80.54,DEVOLUÇÃO,3,Goiás
1978,1473,2020-08-28,17:36,143.94,DEVOLUÇÃO,1,Rio de Janeiro
1979,1474,2020-04-15,23:29,159.69,DEVOLUÇÃO,2,Bahia
1980,1475,2020-05-02,13:17,82.95,CANCELADO,1,Rio de Janeiro
1981,1476,2020-05-29,22:31,51.33,DEVOLUÇÃO,5,Maranhão
1982,1477,2020-08-28,08:25,53.50,CANCELADO,1,Pernambuco
1983,1478,2020-04-15,06:38,210.40,DEVOLUÇÃO,4,Maranhão
1984,1479,2020-12-21,14:25,114.90,DEVOLUÇÃO,3,Rio de Janeiro
1985,1480,2020-10-08,04:43,88.16,DEVOLUÇÃO,3,Pernambuco
1986,1481,2020-10-01,03:09,139.35,COMPRA,5,Minas Gerais
1987,1482,2020-03-21,04:58,77.15,COMPRA,2,Goiás
1988,1483,2021-02-21,02:09,163.20,CANCELADO,3,Pará
1989,1484,2020-07-07,00:11,169.08,COMPRA,4,Rio Grande do Sul
1990,1485,2020-03-29,02:35,186.06,DEVOLUÇÃO,4,Minas Gerais
1991,1486,2020-06-28,14:24,74.60,COMPRA,4,Maranhão
1992,1487,2021-01-19,11:48,76.30,CANCELADO,5,Goiás
1993,1488,2020-05-11,19:17,243.32,COMPRA,6,Paraná
1994,1489,2020-07-08,10:32,131.92,CANCELADO,1,Maranhão
1995,1490,2020-12-31,23:53,28.16,CANCELADO,6,São Paulo
1996,1491,2020-07-06,11:26,71.87,CANCELADO,2,Santa Catarina
1997,1492,2020-09-15,05:54,248.77,COMPRA,4,Minas Gerais
1998,1493,2020-04-12,15:41,22.90,DEVOLUÇÃO,4,Minas Gerais
1999,1494,2021-01-17,08:01,232.34,DEVOLUÇÃO,6,Rio de Janeiro
2000,1495,2020-09-20,03:02,75.83,DEVOLUÇÃO,3,São Paulo
2001,1496,2021-03-15,01:59,257.00,DEVOLUÇÃO,4,Pernambuco
2002,1497,2020-11-12,11:41,229.12,DEVOLUÇÃO,4,Maranhão
2003,1498,2020-08-16,00:00,165.42,CANCELADO,1,Minas Gerais
2004,1499,2021-01-02,01:15,129.79,COMPRA,3,Pará
2005,,,,,,,
2006,1000,2020-03-29,10:13,234.26,COMPRA,7,Pará
2007,1001,2020-06-08,16:21,205.14,DEVOLUÇÃO,4,Goiás
2008,1002,2020-12-18,07:02,34.63,CANCELADO,6,Maranhão
2009,1003,2020-07-27,06:36,210.56,CANCELADO,5,Santa Catarina
2010,1004,2020-03-04,06:31,80.50,COMPRA,4,Paraíba
2011,1005,2020-04-17,16:58,246.87,CANCELADO,3,Santa Catarina
2012,1006,2020-03-11,18:12,264.35,DEVOLUÇÃO,3,Rio de Janeiro
2013,1007,2020-08-12,07:28,39.45,CANCELADO,1,Rio Grande do Sul
2014,1008,2021-02-14,03:09,72.78,DEVOLUÇÃO,3,Ceará
2015,1009,2020-11-23,23:16,260.67,DEVOLUÇÃO,5,Goiás
2016,1010,2020-04-23,10:19,109.49,DEVOLUÇÃO,4,Ceará
2017,1011,2020-09-19,12:17,50.93,CANCELADO,4,Goiás
2018,1012,2020-11-27,00:46,57.12,CANCELADO,3,Santa Catarina
2019,1013,2020-04-02,00:52,104.65,DEVOLUÇÃO,7,Santa Catarina
2020,1014,2020-06-04,03:58,155.27,COMPRA,7,Paraná
2021,1015,2021-03-29,14:39,23.85,COMPRA,6,Paraná
2022,1016,2020-04-23,19:34,217.33,COMPRA,6,Maranhão
2023,1017,2020-03-18,19:33,230.38,COMPRA,2,Maranhão
2024,1018,2021-03-21,11:29,112.05,DEVOLUÇÃO,5,Pernambuco
2025,1019,2020-04-04,13:06,104.88,CANCELADO,2,Goiás
2026,1020,2020-12-15,13:27,244.88,DEVOLUÇÃO,7,Ceará
2027,1021,2020-03-22,18:06,29.95,CANCELADO,3,Santa Catarina
2028,1022,2020-11-11,19:42,210.44,DEVOLUÇÃO,3,Paraná
2029,1023,2020-11-04,16:37,37.41,COMPRA,5,Maranhão
2030,1024,2020-12-15,12:45,163.76,DEVOLUÇÃO,7,Rio Grande do Sul
2031,1025,2020-04-07,20:36,257.78,CANCELADO,4,Bahia
2032,1026,2020-08-20,07:22,262.06,COMPRA,1,Paraná
2033,1027,2020-07-20,07:27,190.19,COMPRA,2,Ceará
2034,1028,2020-11-17,03:40,157.12,DEVOLUÇÃO,7,Goiás
2035,1029,2020-06-11,17:02,102.63,DEVOLUÇÃO,2,Rio Grande do Sul
2036,1030,2020-09-02,05:31,226.63,COMPRA,6,Rio de Janeiro
2037,1031,2020-12-18,10:40,94.03,DEVOLUÇÃO,6,Paraná
2038,1032,2021-01-28,20:22,253.77,DEVOLUÇÃO,6,Maranhão
2039,1033,2020-09-07,17:35,231.15,CANCELADO,7,Bahia
2040,1034,2020-11-24,23:31,146.34,COMPRA,2,Minas Gerais
2041,1035,2020-06-04,19:39,236.69,DEVOLUÇÃO,6,Pernambuco
2042,1036,2020-05-06,14:38,156.99,DEVOLUÇÃO,1,Paraíba
2043,1037,2021-01-27,15:41,176.93,COMPRA,7,Santa Catarina
2044,1038,2020-11-24,07:13,184.33,COMPRA,4,São Paulo
2045,1039,2020-06-16,15:57,239.06,DEVOLUÇÃO,3,Paraná
2046,1040,2021-02-17,05:20,155.24,DEVOLUÇÃO,1,Rio de Janeiro
2047,1041,2020-09-08,14:32,87.85,CANCELADO,6,Paraíba
2048,1042,2020-04-18,20:16,115.47,DEVOLUÇÃO,7,Rio Grande do Sul
2049,1043,2020-03-05,14:48,201.09,CANCELADO,2,Pará
2050,1044,2020-09-28,17:56,170.00,COMPRA,4,Paraíba
2051,1045,2020-06-26,18:21,137.92,DEVOLUÇÃO,3,Rio Grande do Sul
2052,1046,2020-06-07,21:11,42.77,DEVOLUÇÃO,5,Santa Catarina
2053,1047,2020-08-22,15:47,191.14,CANCELADO,3,Paraíba
2054,1048,2020-06-04,13:13,19.83,DEVOLUÇÃO,3,Pará
2055,1049,2020-10-22,19:45,101.64,DEVOLUÇÃO,5,Maranhão
2056,1050,2020-07-29,22:20,48.20,COMPRA,4,Paraíba
2057,1051,2020-09-15,18:48,82.55,CANCELADO,5,Maranhão
2058,1052,2020-12-07,19:49,174.03,COMPRA,5,Rio Grande do Sul
2059,1053,2020-08-29,03:40,215.98,CANCELADO,5,Bahia
2060,1054,2020-05-28,20:41,86.89,COMPRA,6,Paraíba
2061,1055,2020-09-16,08:19,70.44,CANCELADO,6,Paraná
2062,1056,2020-12-30,13:25,246.46,DEVOLUÇÃO,3,Minas Gerais
2063,1057,2020-03-21,13:58,173.53,COMPRA,3,São Paulo
2064,1058,2020-04-16,13:44,130.19,CANCELADO,5,Pará
2065,1059,2021-02-25,03:53,122.28,DEVOLUÇÃO,2,Pará
2066,1060,2020-10-19,14:29,62.41,CANCELADO,5,Paraná
2067,1061,2020-11-05,10:13,209.86,COMPRA,4,Paraná
2068,1062,2020-07-27,19:22,185.91,CANCELADO,4,São Paulo
2069,1063,2020-07-02,18:45,136.59,DEVOLUÇÃO,3,Ceará
2070,1064,2020-12-14,10:12,246.99,COMPRA,7,São Paulo
2071,1065,2020-10-02,17:50,137.08,CANCELADO,3,Rio Grande do Sul
2072,1066,2020-05-27,18:40,112.25,COMPRA,7,São Paulo
2073,1067,2020-10-19,00:58,142.92,CANCELADO,4,Rio de Janeiro
2074,1068,2021-03-24,04:29,30.18,CANCELADO,4,Rio Grande do Sul
2075,1069,2020-11-21,06:19,183.29,COMPRA,6,Paraíba
2076,1070,2020-04-25,21:41,125.56,CANCELADO,3,Paraná
2077,1071,2021-03-08,00:47,64.84,COMPRA,6,São Paulo
2078,1072,2021-02-05,18:17,87.83,COMPRA,7,Paraíba
2079,1073,2020-12-03,08:06,39.13,DEVOLUÇÃO,5,Rio de Janeiro
2080,1074,2020-07-27,08:00,40.86,DEVOLUÇÃO,4,Ceará
2081,1075,2020-04-05,03:46,33.13,COMPRA,6,Goiás
2082,1076,2020-06-18,15:21,190.18,COMPRA,4,Maranhão
2083,1077,2020-05-14,07:18,261.12,DEVOLUÇÃO,3,Pernambuco
2084,1078,2020-11-01,02:41,263.94,CANCELADO,2,Maranhão
2085,1079,2020-07-31,17:34,39.23,COMPRA,6,Pernambuco
2086,1080,2020-04-21,17:33,23.44,COMPRA,2,Maranhão
2087,1081,2020-11-07,08:43,45.13,COMPRA,2,Paraíba
2088,1082,2020-10-03,04:47,113.47,DEVOLUÇÃO,2,Bahia
2089,1083,2020-09-30,02:52,214.43,DEVOLUÇÃO,6,Pernambuco
2090,1084,2020-08-22,03:09,94.30,COMPRA,4,São Paulo
2091,1085,2020-09-04,07:41,264.34,COMPRA,6,Bahia
2092,1086,2020-07-05,00:04,111.26,COMPRA,1,Minas Gerais
2093,1087,2020-04-11,08:29,250.92,COMPRA,3,Maranhão
2094,1088,2020-03-18,14:40,46.62,CANCELADO,4,Paraná
2095,1089,2021-03-11,13:56,118.40,DEVOLUÇÃO,4,Pará
2096,1090,2020-07-24,18:26,133.93,DEVOLUÇÃO,3,São Paulo
2097,1091,2020-06-05,23:01,136.04,DEVOLUÇÃO,4,Goiás
2098,1092,2020-10-02,01:50,213.86,COMPRA,3,Maranhão
2099,1093,2020-09-03,13:02,70.89,CANCELADO,7,Pará
2100,1094,2021-02-06,04:25,22.09,CANCELADO,4,Bahia
2101,1095,2020-03-05,01:20,250.96,CANCELADO,5,Goiás
2102,1096,2020-12-16,10:33,146.13,COMPRA,6,Maranhão
2103,1097,2021-01-06,07:17,123.65,DEVOLUÇÃO,2,Ceará
2104,1098,2020-05-10,06:19,206.10,COMPRA,5,Maranhão
2105,1099,2020-09-21,15:52,151.45,COMPRA,5,Minas Gerais
2106,1100,2021-02-14,07:44,57.83,CANCELADO,6,Rio de Janeiro
2107,1101,2021-01-18,06:30,124.24,CANCELADO,6,Rio Grande do Sul
2108,1102,2021-02-19,16:04,163.20,COMPRA,4,Minas Gerais
2109,1103,2020-03-24,23:03,100.95,DEVOLUÇÃO,4,Rio de Janeiro
2110,1104,2021-01-01,13:09,24.58,CANCELADO,6,Pará
2111,1105,2021-01-14,14:16,146.86,DEVOLUÇÃO,6,Santa Catarina
2112,1106,2020-11-04,22:38,206.73,DEVOLUÇÃO,2,Paraíba
2113,1107,2020-12-30,17:45,227.04,CANCELADO,1,Paraná
2114,1108,2020-08-25,14:13,226.64,CANCELADO,5,Goiás
2115,1109,2021-01-23,15:07,138.76,COMPRA,4,Santa Catarina
2116,1110,2020-06-14,18:38,120.23,COMPRA,3,Pernambuco
2117,1111,2020-04-25,16:27,257.32,DEVOLUÇÃO,3,Minas Gerais
2118,1112,2020-07-04,12:31,148.61,COMPRA,7,Paraná
2119,1113,2020-09-10,19:04,66.51,COMPRA,2,Pará
2120,1114,2020-12-05,03:43,190.76,CANCELADO,4,Ceará
2121,1115,2020-09-07,03:42,160.60,COMPRA,4,Maranhão
2122,1116,2020-05-10,04:58,119.28,COMPRA,7,Paraíba
2123,1117,2020-06-29,23:04,237.33,CANCELADO,2,Ceará
2124,1118,2020-12-30,02:40,258.03,CANCELADO,7,Ceará
2125,1119,2020-03-04,07:36,26.90,DEVOLUÇÃO,2,Santa Catarina
2126,1120,2020-06-05,00:46,153.67,CANCELADO,4,Santa Catarina
2127,1121,2021-01-08,14:02,180.95,COMPRA,4,Goiás
2128,1122,2020-11-06,20:56,266.24,DEVOLUÇÃO,2,Goiás
2129,1123,2020-05-01,15:21,22.73,CANCELADO,3,Maranhão
2130,1124,2020-06-01,00:38,172.55,CANCELADO,4,Rio Grande do Sul
2131,1125,2020-08-03,22:07,64.33,DEVOLUÇÃO,3,Goiás
2132,1126,2020-04-02,20:56,83.43,COMPRA,2,São Paulo
2133,1127,2021-03-27,16:32,179.41,CANCELADO,6,Maranhão
2134,1128,2020-09-11,03:32,253.53,DEVOLUÇÃO,3,Rio de Janeiro
2135,1129,2020-10-17,23:50,122.45,COMPRA,5,Ceará
2136,1130,2020-11-01,20:53,157.12,DEVOLUÇÃO,2,Rio de Janeiro
2137,1131,2020-05-16,22:42,126.80,DEVOLUÇÃO,6,Rio de Janeiro
2138,1132,2020-12-26,15:51,256.14,CANCELADO,6,Paraíba
2139,1133,2020-09-23,11:11,178.19,COMPRA,7,São Paulo
2140,1134,2020-04-25,04:07,176.40,COMPRA,6,Minas Gerais
2141,1135,2020-07-07,07:10,196.95,CANCELADO,6,Goiás
2142,1136,2020-07-21,13:34,246.33,COMPRA,4,Paraíba
2143,1137,2020-10-10,11:13,82.50,CANCELADO,6,Paraíba
2144,1138,2020-03-15,03:16,143.54,CANCELADO,7,Bahia
2145,1139,2021-03-09,18:38,129.75,DEVOLUÇÃO,5,Paraíba
2146,1140,2020-06-22,04:44,178.76,COMPRA,7,Rio Grande do Sul
2147,1141,2020-06-29,19:40,172.98,CANCELADO,4,Maranhão
2148,1142,2020-11-22,18:36,261.88,COMPRA,4,Minas Gerais
2149,1143,2020-10-21,18:04,58.82,COMPRA,5,Pernambuco
2150,1144,2021-01-19,15:12,243.23,CANCELADO,5,Paraná
2151,1145,2020-03-21,01:58,146.31,COMPRA,5,Ceará
2152,1146,2020-09-16,23:00,36.68,CANCELADO,1,Pernambuco
2153,1147,2021-03-10,01:55,55.47,CANCELADO,1,Minas Gerais
2154,1148,2020-03-24,11:17,190.77,CANCELADO,2,São Paulo
2155,1149,2020-09-16,23:54,52.37,COMPRA,2,Minas Gerais
2156,1150,2020-04-12,20:30,183.62,COMPRA,5,Paraná
2157,1151,2020-07-15,03:36,80.33,DEVOLUÇÃO,6,Ceará
2158,1152,2021-01-17,01:11,250.43,CANCELADO,6,São Paulo
2159,1153,2020-09-16,04:32,148.77,DEVOLUÇÃO,7,Rio Grande do Sul
2160,1154,2020-03-10,14:24,254.30,CANCELADO,3,Goiás
2161,1155,2021-01-04,10:09,62.28,DEVOLUÇÃO,4,Pernambuco
2162,1156,2020-05-15,05:59,74.19,COMPRA,5,São Paulo
2163,1157,2021-01-16,21:55,191.99,DEVOLUÇÃO,2,Pernambuco
2164,1158,2020-07-24,03:59,215.65,COMPRA,5,Paraná
2165,1159,2020-10-15,00:41,266.89,DEVOLUÇÃO,4,Pará
2166,1160,2021-01-23,05:36,123.01,DEVOLUÇÃO,6,Paraíba
2167,1161,2020-05-06,12:23,221.97,CANCELADO,3,Santa Catarina
2168,1162,2020-12-02,19:56,164.55,CANCELADO,2,Pará
2169,1163,2021-01-29,02:08,179.02,DEVOLUÇÃO,4,Pará
2170,1164,2020-09-17,18:33,138.39,CANCELADO,5,Rio Grande do Sul
2171,1165,2020-08-26,09:41,202.68,DEVOLUÇÃO,5,Maranhão
2172,1166,2020-07-12,16:32,137.61,COMPRA,1,Minas Gerais
2173,1167,2020-11-06,05:06,190.16,COMPRA,5,Goiás
2174,1168,2020-12-27,18:19,134.46,COMPRA,2,Pernambuco
2175,1169,2020-09-23,23:19,72.29,CANCELADO,3,Bahia
2176,1170,2020-08-13,14:56,39.43,CANCELADO,2,Minas Gerais
2177,1171,2021-01-02,20:43,52.32,COMPRA,5,Rio Grande do Sul
2178,1172,2020-09-28,10:28,219.30,CANCELADO,4,Rio de Janeiro
2179,1173,2020-12-15,14:42,235.18,CANCELADO,6,Paraná
2180,1174,2020-11-09,03:08,42.28,COMPRA,7,Minas Gerais
2181,1175,2020-09-15,23:58,188.14,DEVOLUÇÃO,6,Paraíba
2182,1176,2021-01-04,01:55,211.09,COMPRA,6,Rio de Janeiro
2183,1177,2020-07-29,03:06,168.56,DEVOLUÇÃO,3,Rio de Janeiro
2184,1178,2021-01-14,01:41,87.04,DEVOLUÇÃO,7,Paraíba
2185,1179,2020-04-24,05:10,92.91,DEVOLUÇÃO,2,Rio de Janeiro
2186,1180,2020-11-06,14:58,113.43,CANCELADO,5,Maranhão
2187,1181,2020-03-17,23:11,187.78,DEVOLUÇÃO,3,Rio Grande do Sul
2188,1182,2020-08-22,12:15,115.83,CANCELADO,4,Paraíba
2189,1183,2020-11-14,18:13,114.53,DEVOLUÇÃO,6,Pará
2190,1184,2020-05-18,18:52,248.29,DEVOLUÇÃO,4,Bahia
2191,1185,2020-11-21,09:19,57.65,DEVOLUÇÃO,3,Minas Gerais
2192,1186,2020-05-20,11:15,73.83,COMPRA,7,Pará
2193,1187,2020-11-12,03:23,147.48,COMPRA,7,Rio de Janeiro
2194,1188,2020-07-21,14:30,259.99,DEVOLUÇÃO,5,Santa Catarina
2195,1189,2020-12-01,06:08,113.89,DEVOLUÇÃO,3,Paraíba
2196,1190,2020-10-04,18:36,254.14,CANCELADO,5,Santa Catarina
2197,1191,2020-11-14,01:36,154.50,COMPRA,2,Rio Grande do Sul
2198,1192,2020-05-17,13:58,39.69,CANCELADO,7,Rio de Janeiro
2199,1193,2020-03-20,15:48,164.91,DEVOLUÇÃO,2,Rio Grande do Sul
2200,1194,2020-03-21,02:50,135.33,COMPRA,6,Bahia
2201,1195,2020-05-17,06:26,223.84,COMPRA,2,Santa Catarina
2202,1196,2020-08-25,01:51,36.76,CANCELADO,5,Santa Catarina
2203,1197,2020-07-14,16:47,93.10,DEVOLUÇÃO,2,Ceará
2204,1198,2020-07-22,14:37,66.63,CANCELADO,5,Rio Grande do Sul
2205,1199,2020-04-04,17:31,77.06,DEVOLUÇÃO,3,Rio de Janeiro
2206,1200,2020-07-13,14:42,183.10,CANCELADO,6,Paraíba
2207,1201,2020-04-23,00:48,146.74,COMPRA,6,Santa Catarina
2208,1202,2020-06-12,17:31,167.60,CANCELADO,2,Rio Grande do Sul
2209,1203,2020-04-15,11:45,258.75,COMPRA,3,Paraíba
2210,1204,2021-03-20,17:04,81.42,CANCELADO,7,Minas Gerais
2211,1205,2020-11-01,11:42,257.68,COMPRA,4,São Paulo
2212,1206,2020-03-07,21:50,42.90,CANCELADO,6,Pará
2213,1207,2021-01-17,06:26,118.63,COMPRA,3,Pará
2214,1208,2020-05-20,02:10,247.30,DEVOLUÇÃO,1,Bahia
2215,1209,2020-07-26,03:46,191.74,DEVOLUÇÃO,2,Santa Catarina
